capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
57.018,31.551,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,2,62,85000.0,27,13,0,13,10,14,2,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,9327.0,1,38,5,2,5,0,12,10,0,2022,8.Rodada
56.000,11.050,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,1,44,142000.0,10,5,4,3,15,7,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,1,56,20,11,4,12,6,16,0,2022,8.Rodada
25.000,2.720,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,2,52,1225.0,16,7,1,8,9,11,3,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,48,5,1,4,4,11,11,4,2022,9.Rodada
60.326,27.602,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,1,51,10236.0,22,6,4,5,9,14,4,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,1,49,14,4,9,6,13,9,1,2022,9.Rodada
17.800,11.962,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,1,53,9327.0,17,8,3,4,23,11,1,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,47,16,5,5,7,10,23,2,2022,9.Rodada
42.372,19.323,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,2,42,0.0,14,7,1,7,11,21,2,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,2,58,14,9,3,6,21,11,0,2022,9.Rodada
13.000,12.089,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0,56,0.0,14,4,0,9,11,9,3,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,1,44,10,6,3,0,9,11,0,2022,9.Rodada
23.726,2.573,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,1,49,3020.0,11,3,1,5,10,21,5,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,0,51,5,4,3,7,21,10,1,2022,9.Rodada
65.346,63.795,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,1,66,109442.0,10,4,3,9,20,9,2,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,2,34,12,5,2,3,9,21,5,2022,9.Rodada
43.600,40.235,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,0,50,175974.0,16,10,3,6,19,8,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,0,50,11,5,3,2,7,19,4,2022,9.Rodada
13.212,3.062,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0,49,0.0,8,3,3,7,11,20,2,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,2,51,9,3,2,3,19,12,1,2022,9.Rodada
39.930,30.954,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,1,62,56417.0,16,5,2,9,19,11,1,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,2,38,11,5,4,2,9,22,1,2022,9.Rodada
42.968,22.129,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,1,39,0.0,11,5,4,4,10,10,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,0,61,11,6,3,3,9,11,0,2022,10.Rodada
25.000,2.132,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,0,57,1225.0,16,9,1,4,18,18,3,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,2,43,7,3,3,4,17,20,0,2022,10.Rodada
23.726,3.590,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,1,55,3020.0,18,8,3,11,10,9,0,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,3,45,7,0,3,5,8,10,1,2022,10.Rodada
13.212,8.627,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,1,32,0.0,12,8,3,5,15,11,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,0,68,13,8,1,7,10,16,1,2022,10.Rodada
13.000,5.251,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,2,53,0.0,13,6,2,8,11,12,1,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,9327.0,1,47,10,6,3,6,11,12,0,2022,10.Rodada
